2014/06/16 23:48:30 [T] [PO62940669] STATE:OK
2014/06/16 23:48:30 [T] [PO62940687] STATE:OK
2014/06/16 23:48:30 [T] [J?79288331] STATE:OK
2014/06/16 23:48:30 [T] [JX79288316] STATE:OK
2014/06/16 23:48:30 [T] [PO62940613] STATE:OK
2014/06/16 23:48:30 [T] [PO62940669] STATE:OK
2014/06/16 23:48:30 [T] [PO62940687] STATE:OK
2014/06/16 23:48:30 [T] [J?79288331] STATE:OK
2014/06/16 23:48:30 [T] [JX79288316] STATE:OK
2014/06/16 23:48:30 [T] [PO62940613] STATE:OK
2014/06/16 23:48:30 [T] [PO62940669] STATE:OK
2014/06/16 23:48:30 [T] [PO62940687] STATE:OK
2014/06/16 23:48:30 [T] [J?79288331] STATE:OK
2014/06/16 23:48:30 [T] [JX79288316] STATE:OK
2014/06/16 23:48:30 [T] [PO62940613] STATE:OK
2014/06/16 23:48:31 [T] [PO62940669] STATE:OK
2014/06/16 23:48:31 [T] [PO62940687] STATE:OK
2014/06/16 23:48:31 [T] [J?79288331] STATE:OK
2014/06/16 23:48:31 [T] [JX79288316] STATE:OK
2014/06/16 23:48:31 [T] [PO62940613] STATE:OK
2014/06/16 23:48:31 [T] [PO62940669] STATE:OK
2014/06/16 23:48:31 [T] [PO62940687] STATE:OK
2014/06/16 23:48:31 [T] [J?79288331] STATE:OK
2014/06/16 23:48:31 [T] [JX79288316] STATE:OK
2014/06/16 23:48:31 [T] [PO62940613] STATE:OK
2014/06/16 23:48:31 [T] [PO62940669] STATE:OK
2014/06/16 23:48:31 [T] [PO62940687] STATE:OK
2014/06/16 23:48:31 [T] [J?79288331] STATE:OK
2014/06/16 23:48:31 [T] [JX79288316] STATE:OK
2014/06/16 23:48:31 [T] [PO62940613] STATE:OK
2014/06/16 23:48:31 [T] [PO62940669] STATE:OK
2014/06/16 23:48:31 [T] [PO62940687] STATE:OK
2014/06/16 23:48:31 [T] [J?79288331] STATE:OK
2014/06/16 23:48:31 [T] [JX79288316] STATE:OK
2014/06/16 23:48:31 [T] [PO62940613] STATE:OK
2014/06/16 23:48:31 [T] [PO62940669] STATE:OK
2014/06/16 23:48:31 [T] [PO62940687] STATE:OK
2014/06/16 23:48:31 [T] [J?79288331] STATE:OK
2014/06/16 23:48:32 [T] [JX79288316] STATE:OK
2014/06/16 23:48:32 [T] [PO62940613] STATE:OK
2014/06/16 23:48:32 [T] [PO62940669] STATE:OK
2014/06/16 23:48:32 [T] [PO62940687] STATE:OK
2014/06/16 23:48:32 [T] [J?79288331] STATE:OK
2014/06/16 23:48:32 [T] [JX79288316] STATE:OK
2014/06/16 23:48:32 [T] [PO62940613] STATE:OK
2014/06/16 23:48:32 [T] [PO62940669] STATE:OK
2014/06/16 23:48:32 [T] [PO62940687] STATE:OK
2014/06/16 23:48:32 [T] [J?79288331] STATE:OK
2014/06/16 23:48:32 [T] [JX79288316] STATE:OK
2014/06/16 23:48:32 [T] [PO62940613] STATE:OK
2014/06/16 23:48:32 [T] [PO62940669] STATE:OK
2014/06/16 23:48:32 [T] [PO62940687] STATE:OK
2014/06/16 23:48:32 [T] [J?79288331] STATE:OK
2014/06/16 23:48:32 [T] [JX79288316] STATE:OK
2014/06/16 23:48:32 [T] [PO62940613] STATE:OK
2014/06/16 23:48:32 [T] [PO62940669] STATE:OK
2014/06/16 23:48:32 [T] [PO62940687] STATE:OK
2014/06/16 23:48:32 [T] [J?79288331] STATE:OK
2014/06/16 23:48:32 [T] [JX79288316] STATE:OK
2014/06/16 23:48:33 [T] [PO62940613] STATE:OK
2014/06/16 23:48:33 [T] [PO62940669] STATE:OK
2014/06/16 23:48:33 [T] [PO62940687] STATE:OK
2014/06/16 23:48:33 [T] [J?79288331] STATE:OK
2014/06/16 23:48:33 [T] [JX79288316] STATE:OK
2014/06/16 23:48:33 [T] [PO62940613] STATE:OK
2014/06/16 23:48:33 [T] [PO62940669] STATE:OK
2014/06/16 23:48:33 [T] [PO62940687] STATE:OK
2014/06/16 23:48:33 [T] [J?79288331] STATE:OK
2014/06/16 23:48:33 [T] [JX79288316] STATE:OK
2014/06/16 23:48:33 [T] [PO62940613] STATE:OK
2014/06/16 23:48:33 [T] [PO62940669] STATE:OK
2014/06/16 23:48:33 [T] [PO62940687] STATE:OK
2014/06/16 23:48:33 [T] [J?79288331] STATE:OK
2014/06/16 23:48:33 [T] [JX79288316] STATE:OK
2014/06/16 23:48:33 [T] [PO62940613] STATE:OK
2014/06/16 23:48:33 [T] [PO62940669] STATE:OK
2014/06/16 23:48:33 [T] [PO62940687] STATE:OK
